iteration	personId	time	OutTime	triggerType	currentStopName	transitLine	transitRoute	vehicle	nextStopName	passengersSize	passengerCapacit
0	1394529300	57600.0	16:0:0	T-2	Zürich, Einfangstrasse	VBZ_line62	15661_080	NFB_VBZ_140751	Zürich, Zehntenhausplatz	1	1
0	1152035700	57600.0	16:0:0	T-2	Zürich, Klusplatz	VBZ_line703	23724_001	NFB_VBZ_142004	Zürich, Carl-Spitteler-Strasse	1	1
0	1016616800	57600.0	16:0:0	T-2	Mellingen Heitersberg, Bahnhof	PAG_line362	36202_038	BUS_PAG_95481	Mellingen, Meierhofer	1	1
0	1613689101	57600.0	16:0:0	T-2	Zürich, Lerchenhalde	VBZ_line80	06342_167	NFB_VBZ_138485	Zürich, Schumacherweg	1	1
0	919327800	57606.0	16:0:6	T-2	Zürich, Klusplatz	VBZ_line33	00881_001	NFB_VBZ_137778	Zürich, Hölderlinsteig	1	1
0	891522400	57609.0	16:0:9	T-2	Kindhausen ZH, Bodenacher	VBG_line720	11252_038	NFB_VBG_72129	Volketswil, Eichstrasse	1	1
0	1414618900	57610.0	16:0:10	T-2	Glattbrugg, Post	VBG_line768	00137_001	NFB_VBG_68779	Glattbrugg, Frohbühlstrasse	1	1
0	1561946300	57610.0	16:0:10	T-2	Glattbrugg, Post	VBG_line768	00137_001	NFB_VBG_68779	Glattbrugg, Frohbühlstrasse	1	1
0	1334765100	57616.0	16:0:16	T-2	Zürich Tiefenbrunnen, Bahnhof	VBZ_line916	20952_001	NFB_VBZ_141546	Zollikon, Bahnübergang	1	1
0	1065210400	57660.0	16:1:0	T-2	Zürich, Loorenstrasse	VBZ_line34	08292_147	NFB_VBZ_139136	Zürich, Berghaldenstrasse	1	1
0	919327800	57660.0	16:1:0	T-2	Zürich, Klusplatz	VBZ_line33	00881_001	NFB_VBZ_137778	Zürich, Hölderlinsteig	1	1
0	891522400	57660.0	16:1:0	T-2	Kindhausen ZH, Bodenacher	VBG_line720	11252_038	NFB_VBG_72129	Volketswil, Eichstrasse	1	1
0	1414618900	57660.0	16:1:0	T-2	Glattbrugg, Post	VBG_line768	00137_001	NFB_VBG_68779	Glattbrugg, Frohbühlstrasse	1	1
0	1561946300	57660.0	16:1:0	T-2	Glattbrugg, Post	VBG_line768	00137_001	NFB_VBG_68779	Glattbrugg, Frohbühlstrasse	1	1
0	1334765100	57720.0	16:2:0	T-2	Zürich Tiefenbrunnen, Bahnhof	VBZ_line916	20952_001	NFB_VBZ_141546	Zollikon, Bahnübergang	1	1
0	1532157401	57720.0	16:2:0	T-2	Zürich, Altried	VBG_line759	03789_076	NFB_VBG_69582	Dübendorf, Sport Heerenschürli	1	1
0	761128800	57723.0	16:2:3	T-2	Rieden AG, Limmatsteg	RVB_line2	01222_086	NFB_RVB_156487	Rieden AG, Boldi	1	1
0	1611934300	57726.0	16:2:6	T-2	Zürich, Sihlweidstrasse	VBZ_line70	08754_001	NFB_VBZ_139258	Zürich, Mittelleimbach	1	1
0	1611934300	57780.0	16:3:0	T-2	Zürich, Sihlweidstrasse	VBZ_line70	08754_001	NFB_VBZ_139258	Zürich, Mittelleimbach	1	1
0	1211501600	57783.0	16:3:3	T-2	Wädenswil, Bahnhof	SZU_line121	00462_001	NFB_SZU_107086	Wädenswil, Weinrebe	1	1
0	1206551100	57790.0	16:3:10	T-2	Schlieren, Gasometerbrücke	VBZ_line31	00289_002	NFB_VBZ_137729	Schlieren, Mülligen	1	1
0	1211501600	57840.0	16:4:0	T-2	Wädenswil, Bahnhof	SZU_line121	00462_001	NFB_SZU_107086	Wädenswil, Weinrebe	1	1
0	1206551100	57840.0	16:4:0	T-2	Schlieren, Gasometerbrücke	VBZ_line31	00289_002	NFB_VBZ_137729	Schlieren, Mülligen	1	1
0	1300341600	57907.0	16:5:7	T-2	Dietikon, Heimstrasse	VBZ_line302	29021_040	NFB_VBZ_142895	Fahrweid, Limmatbrücke	1	1
0	1262123400	57960.0	16:6:0	T-2	Windisch, Zentrum	PAG_line362	36203_039	BUS_PAG_95473	Gebenstorf, Reuss	1	1
0	1300341600	57960.0	16:6:0	T-2	Dietikon, Heimstrasse	VBZ_line302	29021_040	NFB_VBZ_142895	Fahrweid, Limmatbrücke	1	1
0	1237140700	57960.0	16:6:0	T-2	Dietikon, Heimstrasse	VBZ_line302	29021_040	NFB_VBZ_142895	Fahrweid, Limmatbrücke	1	1
0	860623500	57965.0	16:6:5	T-2	Winterthur, Grubenstr.	PAG_line680	68009_061	NFB_PAG_101614	Winterthur, Hegifeld	1	1
0	953858701	57968.0	16:6:8	T-2	Zürich, Im Hagacker	VBZ_line89	22478_134	NFB_VBZ_141868	Zürich, Hegianwandweg	1	1
0	860623500	58020.0	16:7:0	T-2	Winterthur, Grubenstr.	PAG_line680	68009_061	NFB_PAG_101614	Winterthur, Hegifeld	1	1
0	953858701	58020.0	16:7:0	T-2	Zürich, Im Hagacker	VBZ_line89	22478_134	NFB_VBZ_141868	Zürich, Hegianwandweg	1	1
0	1025072900	58025.0	16:7:5	T-2	Winterthur, Palmstrasse	SBW_line1	00003_003	NFB_SBW_151561	Winterthur, Obertor	1	1
0	1580441201	58033.0	16:7:13	T-2	Kloten, Zum Wilden Mann	PAG_line520	51980_001	NFB_PAG_97210	Kloten, Freienberg	1	1
0	1266786700	58080.0	16:8:0	T-2	Zürich, Goldackerweg	VBZ_line80	00928_017	NFB_VBZ_137278	Zürich, In der Ey	1	1
0	1487670200	58086.0	16:8:6	T-2	Zürich, Riedgraben	VBZ_line94	20206_066	NFB_VBZ_141464	Zürich, Saatlenstrasse	1	1
0	919327800	58086.0	16:8:6	T-2	Zürich, Klusplatz	VBZ_line33	00881_001	NFB_VBZ_137775	Zürich, Hölderlinsteig	1	1
0	1286658000	58089.0	16:8:9	T-2	Oberengstringen, Lanzrain	VBZ_line304	16395_001	NFB_VBZ_140837	Oberengstringen, Eggbühl	1	1
0	1172056800	58092.0	16:8:12	T-2	Spreitenbach, Spreiti West	RVB_line2	00991_001	NFB_RVB_156384	Spreitenbach, Rotzenbühl	1	1
